"V1","V2","V3"
0.0177777777777777,-1.56555555555556,-0.767037037037037
-0.399545454545455,-2.03363636363636,-0.700454545454545
0.0539999999999999,-1.7296,-0.4188
0.171851851851852,-1.61185185185185,-0.353333333333333
0.125185185185185,-1.72592592592593,-0.363333333333333
0.0831999999999999,-1.8228,-0.476
-0.28962962962963,-1.49777777777778,-0.440740740740741
-0.0224000000000001,-1.776,-0.5336
0.114444444444444,-1.60407407407407,-0.686666666666667
0.0459259259259258,-1.56666666666667,-0.715555555555556
0.104444444444444,-1.46592592592593,-0.676666666666667
0.00555555555555546,-1.6662962962963,-0.72
-0.035925925925926,-1.51481481481481,-0.654814814814815
-0.00444444444444454,-1.52814814814815,-0.71
0.168518518518518,-0.901481481481482,-0.618148148148148
-0.223333333333333,-1.36,-0.771851851851852
0.0314814814814814,-1.46851851851852,-0.767407407407407
0.0399999999999999,-1.60296296296296,-0.824074074074074
0.0177777777777777,-1.56555555555556,-0.767037037037037
0.151481481481481,-1.54925925925926,-0.771111111111111
0.0492592592592592,-1.57888888888889,-0.822222222222222
0.0492592592592592,-1.57888888888889,-0.822222222222222
-0.552962962962963,-1.09888888888889,-0.757037037037037
-0.298148148148148,-1.20740740740741,-0.752592592592593
0.933571428571429,-0.551428571428571,-0.287142857142857
0.035,-0.637222222222222,-0.0438888888888889
0.0927777777777778,-0.586111111111111,0.0661111111111111
0.05,-0.201666666666667,-0.472777777777778
-1.039,-2.1015,-0.4985
-1.029,-1.861,-0.581
-1.0375,-1.9315,-0.6095
-0.943,-1.9265,-0.5855
-1.141,-1.633,-0.1215
-0.6435,-1.607,-0.3465
-0.6425,-1.826,-0.3625
-1.0195,-1.7105,-0.3945
-1.051,-1.745,-0.596
-1.1005,-2.0855,-0.623
-1.007,-1.678,-0.392
-1.109,-1.854,-0.548
-0.9935,-1.8645,-0.4055
-1.051,-1.745,-0.596
-1.025,-1.899,-0.607
