"V1","V2","V3"
1.6340625,0.801875,-0.3221875
1.78,1.02571428571429,-0.778571428571429
2.088,0.46,-0.361666666666667
2.16833333333333,1.06375,-0.427083333333333
1.845,0.62578947368421,-0.181842105263158
1.28842105263158,0.745526315789474,-0.0421052631578947
1.8475,0.71375,-0.438333333333333
1.59666666666667,0.776666666666667,-0.335
0.874444444444444,0.733703703703704,0.0711111111111111
1.42809523809524,0.97,-0.345238095238095
1.8888,0.786,-0.5584
1.69538461538462,0.910769230769231,-0.573846153846154
