"V1","V2","V3"
-1.69111111111111,-0.7,-0.73
-0.908947368421053,-1.04105263157895,-0.134210526315789
-0.983157894736842,-1.09789473684211,-0.553157894736842
-0.828421052631579,-1.02578947368421,-0.626842105263158
-0.951052631578947,-1.18947368421053,-0.457894736842105
-1.71368421052632,-0.588421052631579,-0.398947368421053
-0.567894736842105,-0.800526315789474,-0.256842105263158
-1.144,-1.0585,-0.1605
-0.6605,-0.873,-0.309
-0.9815,-0.8085,-0.376
-1.0875,-0.822,-0.4625
-1.1645,-1.1405,-0.636
-0.6285,-1.162,-0.5785
-0.887,-0.634,-0.539
-1.013,-0.998,-0.6
-1.123,-0.944,-0.591
-0.6435,-0.861,-0.6515
-1.077,-0.9545,-0.2735
-0.7855,-0.83,-0.466
-0.555714285714286,-0.903809523809524,-0.312380952380952
-0.502380952380952,-1.28380952380952,-0.48
-1.18190476190476,-0.602857142857143,-0.426666666666667
-1.48761904761905,-0.853809523809524,-0.620952380952381
-0.636666666666667,-1.3547619047619,-0.703809523809524
-0.695714285714286,-1.3747619047619,-0.716666666666667
-0.829047619047619,-0.78047619047619,-0.519523809523809
-0.876666666666667,-1.55047619047619,-0.638095238095238
-1.02857142857143,-1.14238095238095,-0.728095238095238
-0.84,-1.27809523809524,-0.561904761904762
-0.985714285714286,-0.868095238095238,-0.513333333333333
-0.557272727272727,-1.27863636363636,-0.476818181818182
-0.593181818181818,-1.22772727272727,-0.535909090909091
-0.761818181818182,-0.858181818181818,-0.424545454545455
-0.876818181818182,-0.732272727272727,-0.587727272727273
-0.525454545454546,-0.910909090909091,-0.552272727272727
-0.931818181818182,-0.410909090909091,-0.499545454545455
-0.936363636363637,-0.796363636363636,-0.995
-0.93,-1.13090909090909,-0.434090909090909
-0.470454545454546,-1.22545454545455,-0.556363636363636
-0.93,-1.28272727272727,-0.521818181818182
-0.685909090909091,-1.27363636363636,-0.435
-0.249545454545455,-0.83,-0.303181818181818
-0.648636363636364,-0.765,-0.472727272727273
-0.89,-1.08318181818182,-0.584090909090909
-0.663478260869565,-0.920434782608696,-0.414347826086957
-0.501739130434783,-0.988695652173913,-0.43695652173913
-0.956086956521739,-1.3204347826087,-0.708695652173913
-1.00086956521739,-0.740434782608696,-0.502608695652174
-0.381739130434783,-0.938260869565217,-0.673478260869565
-0.649130434782609,-1.38521739130435,-0.408260869565217
-0.184347826086957,-0.794782608695652,-0.392173913043478
-0.848260869565218,-0.801739130434783,-0.268695652173913
-0.57304347826087,-0.991739130434783,-0.525217391304348
-0.440434782608696,-0.964347826086957,-0.239130434782609
-0.292608695652174,-1.40478260869565,-0.0630434782608696
-0.409565217391304,-0.95695652173913,-0.306521739130435
-1.40173913043478,-0.95,-0.470869565217391
-0.724583333333333,-0.834583333333333,-0.286666666666667
-0.98,-1.00375,-0.18125
-0.79625,-1.24833333333333,-0.672916666666667
-0.645,-0.985,-0.255833333333333
-0.791666666666667,-1.2225,-0.204583333333333
-1.2812,-0.5964,0.0364
-0.6672,-0.974,-0.5552
-0.5424,-0.9084,-0.6276
-1.1416,-0.88,-0.5988
-0.7224,-1.1032,-0.5656
-0.9104,-1.1716,-0.5948
-0.3584,-1.6372,-0.4024
-0.7728,-1.1944,-0.7112
-0.3112,-1.078,-0.524
-0.9412,-1.2016,-0.4484
-0.725384615384616,-0.951538461538462,-0.316153846153846
-0.521153846153846,-1.27576923076923,-0.288461538461538
-0.796923076923077,-1.25346153846154,-0.226538461538462
-0.513076923076923,-1.37461538461538,-0.597692307692308
-1.65076923076923,0.158846153846154,-0.282692307692308
-0.399230769230769,-0.946923076923077,-0.341153846153846
-1.03962962962963,-0.894074074074074,-0.214814814814815
-0.498148148148148,-1.13,-0.662592592592593
-0.236296296296296,-1.04259259259259,-0.324814814814815
-0.405925925925926,-0.898148148148148,-0.467037037037037
-0.67,-0.385714285714286,-0.499642857142857
-0.582142857142857,-1.59285714285714,-0.5525
-1.00642857142857,-1.06678571428571,-0.582142857142857
-0.628275862068966,-1.24586206896552,-0.601379310344828
-0.722068965517241,-0.934827586206897,-0.39
-0.725,-0.478666666666667,-0.458333333333333
-0.773333333333333,-0.473666666666667,0.0406666666666666
-0.547333333333333,-0.845,-0.529666666666667
-0.12625,-0.9678125,-0.3096875
0.114545454545455,-0.872727272727273,-0.73030303030303
-1.14393939393939,-0.0836363636363636,-0.364545454545455
-0.747575757575758,-0.850606060606061,-0.223333333333333
0.0276470588235293,-1.01029411764706,-0.269117647058824
-0.463611111111111,-0.585833333333333,-0.138055555555556
