PaaHheliquest,Paa.pre.Hheliquest,Paa.post.Hheliquest,Hnetcharge,Seqnetcharge,Hydro,Paa.pre.Hhydro,Paa.post.Hhydro,HydrMom,Paa.pre.Hhydrmom,Paa.post.Hhydrmom
0.0,0.0,0.0,0.0,3.0,0.53667,0.19230769230769232,0.34615384615384615,0.6959,0.19230769230769232,0.34615384615384615
0.0,0.0,0.0,0.0,3.0,0.9533299999999999,0.15789473684210525,0.21052631578947367,0.55918,0.0,0.3684210526315789
0.7142857142857143,0.0,0.2857142857142857,2.0,3.0,0.73556,0.10714285714285714,0.4642857142857143,0.7481800000000001,0.25,0.32142857142857145
0.7619047619047619,0.23809523809523808,0.0,3.0,4.0,0.64889,0.09523809523809523,0.3333333333333333,0.7722600000000001,0.0,0.42857142857142855
0.4915254237288136,0.0,0.5084745762711864,5.0,8.0,0.83111,0.23728813559322035,0.559322033898305,0.75981,0.3728813559322034,0.423728813559322
0.0,0.0,0.0,0.0,1.0,0.71778,0.0,0.0,0.36219,0.25,-0.25
0.8787878787878788,0.09090909090909091,0.030303030303030304,6.0,6.0,0.70111,0.0,0.6363636363636364,0.64704,0.0,0.6363636363636364
0.36666666666666664,0.0,0.6333333333333333,1.0,5.0,0.57222,0.0,0.6,0.7208399999999999,0.3,0.3
0.0,0.0,0.0,0.0,3.0,0.8422200000000001,0.375,-0.125,0.46108000000000005,0.1875,0.0625
0.7307692307692307,0.0,0.2692307692307692,2.0,3.0,0.69889,0.5769230769230769,-0.038461538461538464,0.6419600000000001,0.15384615384615385,0.38461538461538464
0.3508771929824561,0.2807017543859649,0.14035087719298245,4.0,6.0,0.93,0.40350877192982454,0.38596491228070173,0.73568,0.6842105263157895,0.10526315789473684
0.43661971830985913,0.4647887323943662,0.5774647887323944,3.0,2.0,1.10667,0.2535211267605634,0.5774647887323944,0.75571,0.5492957746478874,0.28169014084507044
0.0,0.0,0.0,0.0,3.0,0.64444,0.15789473684210525,0.21052631578947367,0.45511,0.3684210526315789,0.0
0.0,0.0,0.0,0.0,2.0,0.63778,0.2777777777777778,0.05555555555555555,0.50976,0.3333333333333333,0.0
0.5555555555555556,0.17777777777777778,0.1111111111111111,2.0,4.0,0.7844399999999999,0.2222222222222222,0.5111111111111111,0.63307,0.6444444444444445,0.08888888888888889
0.0,0.0,0.0,0.0,3.0,0.44888999999999996,0.2857142857142857,-0.14285714285714285,0.49986,0.07142857142857142,0.07142857142857142
0.29333333333333333,0.21333333333333335,0.49333333333333335,2.0,4.0,0.8333299999999999,0.013333333333333334,0.8266666666666667,0.71632,0.7733333333333333,0.06666666666666667
0.6428571428571429,0.35714285714285715,0.0,2.0,3.0,0.48444,0.07142857142857142,0.07142857142857142,0.5041800000000001,0.35714285714285715,-0.21428571428571427
0.5,0.041666666666666664,0.4583333333333333,2.0,5.0,0.79222,0.375,0.125,0.44896,0.041666666666666664,0.4583333333333333
0.6774193548387096,0.3225806451612903,0.0,3.0,4.0,0.95778,0.0967741935483871,0.5161290322580645,0.60395,0.6774193548387096,-0.06451612903225806
0.0,0.0,0.0,0.0,1.0,0.92111,0.0,0.5555555555555556,0.62841,0.48148148148148145,0.07407407407407407
0.5789473684210527,0.2631578947368421,0.15789473684210525,2.0,3.0,0.55,0.10526315789473684,0.2631578947368421,0.45935,0.3157894736842105,0.05263157894736842
0.0,0.0,0.0,0.0,2.0,0.48,0.3125,-0.0625,0.51461,0.1875,0.0625
0.5945945945945946,0.35135135135135137,0.05405405405405406,6.0,6.0,0.9833299999999999,0.2972972972972973,0.3783783783783784,0.6756800000000001,0.3783783783783784,0.2972972972972973
0.0,0.0,0.0,0.0,4.0,1.16,0.3939393939393939,0.24242424242424243,0.36141,0.24242424242424243,0.3939393939393939
0.967741935483871,0.0,0.03225806451612903,5.0,5.0,0.67,0.6129032258064516,0.0,0.52003,0.6129032258064516,0.0
0.40625,0.0,0.59375,3.0,4.0,1.44333,0.375,0.25,0.79162,0.0,0.625
0.0,0.0,0.0,0.0,3.0,0.49111000000000005,0.25,-0.25,0.5254300000000001,0.16666666666666666,-0.16666666666666666
0.559322033898305,0.1694915254237288,0.8305084745762712,6.0,4.0,0.88,0.01694915254237288,0.7796610169491526,0.87716,0.22033898305084745,0.576271186440678
0.0,0.0,0.0,0.0,5.0,0.64444,0.4782608695652174,0.0,0.5554100000000001,0.043478260869565216,0.43478260869565216
0.5769230769230769,0.038461538461538464,0.38461538461538464,3.0,5.0,0.65,0.5384615384615384,0.0,0.3883,0.6538461538461539,-0.11538461538461539
0.0,0.0,0.0,0.0,6.0,0.80333,0.5555555555555556,0.0,0.57016,0.037037037037037035,0.5185185185185185
0.0,0.0,0.0,0.0,4.0,0.51889,0.55,-0.15,0.51805,0.05,0.35
0.0,0.0,0.0,0.0,9.0,0.60333,0.1,0.6,0.56014,0.025,0.675
1.0,0.0,0.0,4.0,4.0,0.61778,0.2,0.2,0.5032800000000001,0.55,-0.15
0.0,0.0,0.0,0.0,6.0,0.76667,0.0,0.6470588235294118,0.38761999999999996,0.14705882352941177,0.5
0.6285714285714286,0.45714285714285713,0.6571428571428571,3.0,5.0,0.74222,0.6285714285714286,0.02857142857142857,0.6692899999999999,0.2857142857142857,0.37142857142857144
0.3875,0.275,0.1125,4.0,10.0,0.76,0.65,0.2,0.62915,0.075,0.775
0.0,0.0,0.0,0.0,4.0,0.6955600000000001,0.45454545454545453,0.18181818181818182,0.48271000000000003,0.030303030303030304,0.6060606060606061
0.6818181818181818,0.22727272727272727,0.09090909090909091,4.0,5.0,0.49444,0.0,0.45454545454545453,0.5405,0.22727272727272727,0.22727272727272727
0.0,0.0,0.0,0.0,4.0,0.49,0.18181818181818182,0.2727272727272727,0.43643000000000004,0.5454545454545454,-0.09090909090909091
0.0,0.0,0.0,0.0,6.0,0.6844399999999999,0.2,0.32,0.6041,0.52,0.0
0.8805970149253731,0.6567164179104478,0.43283582089552236,5.0,7.0,0.81667,0.2835820895522388,0.5373134328358209,0.66268,0.8059701492537313,0.014925373134328358
0.0,0.0,0.0,0.0,4.0,0.79222,0.0,0.5,0.4937,0.2916666666666667,0.20833333333333334
