PaaHheliquest,Paa.pre.Hheliquest,Paa.post.Hheliquest,Hnetcharge,Seqnetcharge,Hydro,Paa.pre.Hhydro,Paa.post.Hhydro,HydrMom,Paa.pre.Hhydrmom,Paa.post.Hhydrmom
0.6511627906976745,0.16279069767441862,0.18604651162790697,4.0,5.0,1.0066700000000002,0.4883720930232558,0.23255813953488372,0.7928,0.5116279069767442,0.20930232558139536
0.7407407407407407,0.0,0.25925925925925924,4.0,5.0,0.9266700000000001,0.07407407407407407,0.48148148148148145,0.6137199999999999,0.1111111111111111,0.4444444444444444
0.9347826086956522,0.0,0.06521739130434782,4.0,4.0,0.57333,0.6956521739130435,0.043478260869565216,0.56357,0.5217391304347826,0.21739130434782608
0.6666666666666666,0.0,0.3333333333333333,3.0,5.0,0.8588899999999999,0.0,0.6363636363636364,0.58727,0.09090909090909091,0.5454545454545454
0.7205882352941176,0.3088235294117647,0.07352941176470588,7.0,8.0,0.90222,0.75,0.07352941176470588,0.75455,0.08823529411764706,0.7352941176470589
0.7142857142857143,0.047619047619047616,0.23809523809523808,1.0,5.0,1.2788899999999999,0.30952380952380953,0.40476190476190477,0.59654,0.07142857142857142,0.6428571428571429
0.6875,0.0,0.15625,3.0,5.0,0.6977800000000001,0.0,0.625,0.6811,0.0,0.625
0.3125,0.59375,0.09375,1.0,4.0,0.93111,0.28125,0.34375,0.50195,0.59375,0.03125
0.7692307692307693,0.41025641025641024,0.717948717948718,2.0,4.0,0.8622200000000001,0.5897435897435898,0.10256410256410256,0.68688,0.0,0.6923076923076923
0.8333333333333334,0.3888888888888889,0.6111111111111112,4.0,6.0,1.0,0.2222222222222222,0.4444444444444444,0.67195,0.1388888888888889,0.5277777777777778
0.6857142857142857,0.2,0.11428571428571428,3.0,5.0,0.65889,0.11428571428571428,0.5428571428571428,0.49008999999999997,0.37142857142857144,0.2857142857142857
0.6119402985074627,0.0,0.3582089552238806,7.0,12.0,0.73556,0.44776119402985076,0.373134328358209,0.6487,0.1044776119402985,0.7164179104477612
