PaaHheliquest,Paa.pre.Hheliquest,Paa.post.Hheliquest,Hnetcharge,Seqnetcharge,Hydro,Paa.pre.Hhydro,Paa.post.Hhydro,HydrMom,Paa.pre.Hhydrmom,Paa.post.Hhydrmom
0.5789473684210527,0.3157894736842105,0.10526315789473684,2.0,4.0,0.66333,0.0,0.3684210526315789,0.57129,0.10526315789473684,0.2631578947368421
0.0,0.0,0.0,0.0,5.0,0.50222,0.0,0.45454545454545453,0.69288,0.5909090909090909,-0.13636363636363635
0.8636363636363636,0.0,0.13636363636363635,4.0,5.0,0.60111,0.18181818181818182,0.2727272727272727,0.41613999999999995,0.045454545454545456,0.4090909090909091
0.9130434782608695,0.0,0.08695652173913043,4.0,4.0,0.61444,0.043478260869565216,0.43478260869565216,0.61839,0.34782608695652173,0.13043478260869565
0.4166666666666667,0.25,0.3333333333333333,2.0,4.0,0.8977799999999999,0.0,0.5,0.53235,0.25,0.25
0.5833333333333334,0.4166666666666667,0.0,4.0,5.0,0.5444399999999999,0.08333333333333333,0.4166666666666667,0.75402,0.625,-0.125
1.0,0.0,0.0,4.0,4.0,0.66,0.4583333333333333,0.041666666666666664,0.61205,0.5,0.0
0.7307692307692307,0.0,0.2692307692307692,4.0,5.0,0.49667,0.0,0.5384615384615384,0.6944,0.0,0.5384615384615384
0.9642857142857143,0.03571428571428571,0.0,5.0,5.0,0.67778,0.5714285714285714,0.0,0.5546800000000001,0.03571428571428571,0.5357142857142857
0.5357142857142857,0.03571428571428571,0.42857142857142855,4.0,5.0,0.87444,0.6071428571428571,-0.03571428571428571,0.48758999999999997,0.07142857142857142,0.5
0.6551724137931034,0.0,0.3448275862068966,3.0,6.0,0.54,0.034482758620689655,0.5517241379310345,0.53961,0.3103448275862069,0.27586206896551724
0.4,0.3333333333333333,0.26666666666666666,2.0,5.0,0.65889,0.0,0.6,0.42565,0.43333333333333335,0.16666666666666666
0.5882352941176471,0.0,0.4117647058823529,3.0,5.0,0.7188899999999999,0.17647058823529413,0.47058823529411764,0.6278199999999999,0.7352941176470589,-0.08823529411764706
0.8,0.05714285714285714,0.14285714285714285,5.0,7.0,0.86667,0.5428571428571428,0.11428571428571428,0.5376,0.17142857142857143,0.4857142857142857
1.0,0.0,0.0,5.0,5.0,0.6844399999999999,0.6666666666666666,0.0,0.5875600000000001,0.3611111111111111,0.3055555555555556
0.9459459459459459,0.3783783783783784,0.6216216216216216,5.0,5.0,0.8155600000000001,0.6486486486486487,0.02702702702702703,0.6921,0.0,0.6756756756756757
0.7027027027027027,0.10810810810810811,0.1891891891891892,4.0,7.0,0.74333,0.16216216216216217,0.5135135135135135,0.6704,0.24324324324324326,0.43243243243243246
0.0,0.0,0.0,0.0,4.0,0.8155600000000001,0.7631578947368421,-0.07894736842105263,0.45135,0.07894736842105263,0.6052631578947368
0.6923076923076923,0.0,0.3076923076923077,3.0,4.0,0.87111,0.6923076923076923,0.0,0.66071,0.0,0.6923076923076923
0.5217391304347826,0.30434782608695654,0.17391304347826086,1.0,3.0,0.8155600000000001,0.15217391304347827,0.5869565217391305,0.43595,0.5434782608695652,0.1956521739130435
0.4897959183673469,0.0,0.0,3.0,5.0,0.7944399999999999,0.04081632653061224,0.7142857142857143,0.78457,0.04081632653061224,0.7142857142857143
0.5660377358490566,0.0,0.0,4.0,5.0,0.80667,0.7735849056603774,0.0,0.6463899999999999,0.0,0.7735849056603774
0.559322033898305,0.6271186440677966,0.7796610169491526,3.0,6.0,0.56667,0.288135593220339,0.5084745762711864,0.7169300000000001,0.03389830508474576,0.7627118644067796
0.7971014492753623,0.057971014492753624,0.028985507246376812,5.0,5.0,0.76,0.0,0.8260869565217391,0.60524,0.08695652173913043,0.7391304347826086
0.5844155844155844,0.025974025974025976,0.025974025974025976,7.0,5.0,0.7388899999999999,0.0,0.8441558441558441,0.60516,0.36363636363636365,0.4805194805194805
0.6666666666666666,0.49382716049382713,0.5061728395061729,2.0,3.0,0.79333,0.8024691358024691,0.04938271604938271,0.7185600000000001,0.08641975308641975,0.7654320987654321
0.5294117647058824,0.5647058823529412,0.788235294117647,4.0,8.0,0.67333,0.6352941176470588,0.2235294117647059,0.83368,0.8941176470588236,-0.03529411764705882
0.7865168539325843,0.11235955056179775,0.0,9.0,9.0,0.6644399999999999,0.48314606741573035,0.38202247191011235,0.5715899999999999,0.033707865168539325,0.8314606741573034
0.5,0.37777777777777777,0.2111111111111111,2.0,7.0,0.89444,0.36666666666666664,0.5,0.76335,0.022222222222222223,0.8444444444444444
