PaaHheliquest,Paa.pre.Hheliquest,Paa.post.Hheliquest,Hnetcharge,Seqnetcharge,Hydro,Paa.pre.Hhydro,Paa.post.Hhydro,HydrMom,Paa.pre.Hhydrmom,Paa.post.Hhydrmom
1.0,0.0,0.0,3.0,3.0,0.58667,0.4782608695652174,0.0,0.5756,0.30434782608695654,0.17391304347826086
1.0,0.0,0.0,3.0,3.0,0.58667,0.4782608695652174,0.0,0.65341,0.30434782608695654,0.17391304347826086
1.0,0.0,0.0,2.0,2.0,0.74889,0.43243243243243246,0.24324324324324326,0.66519,0.02702702702702703,0.6486486486486487
1.0,0.0,0.0,2.0,2.0,0.63889,0.43243243243243246,0.24324324324324326,0.66519,0.02702702702702703,0.6486486486486487
1.0,0.0,0.0,6.0,6.0,0.6088899999999999,0.4864864864864865,0.1891891891891892,0.83544,0.05405405405405406,0.6216216216216216
1.0,0.0,0.0,7.0,7.0,0.6433300000000001,0.6,0.05714285714285714,0.84362,0.05714285714285714,0.6
1.0,0.0,0.0,7.0,7.0,0.70778,0.6,0.05714285714285714,0.79767,0.05714285714285714,0.6
0.9166666666666666,0.0,0.08333333333333333,1.0,2.0,0.71444,0.4444444444444444,0.2222222222222222,0.66519,0.027777777777777776,0.6388888888888888
0.9166666666666666,0.0,0.08333333333333333,1.0,2.0,0.65,0.4444444444444444,0.2222222222222222,0.7014199999999999,0.027777777777777776,0.6388888888888888
0.8461538461538461,0.5384615384615384,0.5897435897435898,4.0,5.0,0.66222,0.48717948717948717,0.20512820512820512,0.87655,0.02564102564102564,0.6666666666666666
0.8461538461538461,0.5384615384615384,0.5897435897435898,4.0,5.0,0.74444,0.48717948717948717,0.20512820512820512,0.87655,0.02564102564102564,0.6666666666666666
0.8461538461538461,0.5384615384615384,0.5897435897435898,4.0,5.0,0.79778,0.48717948717948717,0.20512820512820512,0.8781899999999999,0.02564102564102564,0.6666666666666666
0.8,0.0,0.0,3.0,3.0,0.6722199999999999,0.475,0.225,0.87266,0.025,0.675
0.8461538461538461,0.0,0.15384615384615385,0.0,0.0,0.74889,0.41025641025641024,0.28205128205128205,0.7724,0.0,0.6923076923076923
1.0,0.0,0.0,7.0,7.0,0.7188899999999999,0.6,0.05714285714285714,0.83544,0.05714285714285714,0.6
1.0,0.0,0.0,6.0,6.0,0.60222,0.6,0.05714285714285714,0.8441299999999999,0.05714285714285714,0.6
0.78125,0.21875,0.0,3.0,6.0,0.59,0.625,0.0,0.76995,0.09375,0.53125
1.0,0.0,0.0,6.0,6.0,0.63667,0.6,0.05714285714285714,0.7972100000000001,0.05714285714285714,0.6
1.0,0.0,0.0,6.0,6.0,0.70778,0.6363636363636364,0.0,0.7972100000000001,0.06060606060606061,0.5757575757575758
1.0,0.0,0.0,6.0,6.0,0.63667,0.6363636363636364,0.0,0.79767,0.06060606060606061,0.5757575757575758
1.0,0.0,0.0,8.0,8.0,0.63444,0.6285714285714286,0.02857142857142857,0.80035,0.05714285714285714,0.6
1.0,0.0,0.0,8.0,8.0,0.6188899999999999,0.7058823529411765,-0.058823529411764705,0.7301300000000001,0.08823529411764706,0.5588235294117647
1.0,0.0,0.0,8.0,8.0,0.6188899999999999,0.7058823529411765,-0.058823529411764705,0.80035,0.058823529411764705,0.5882352941176471
0.7948717948717948,0.0,0.0,5.0,5.0,0.6722199999999999,0.48717948717948717,0.20512820512820512,0.87655,0.02564102564102564,0.6666666666666666
0.9354838709677419,0.0,0.06451612903225806,4.0,5.0,0.79333,0.5483870967741935,0.06451612903225806,0.65892,0.03225806451612903,0.5806451612903226
1.0,0.0,0.0,5.0,5.0,0.6511100000000001,0.7105263157894737,-0.02631578947368421,0.72654,0.05263157894736842,0.631578947368421
0.9705882352941176,0.0,0.029411764705882353,-1.0,0.0,0.77778,0.0,0.6470588235294118,0.8683299999999999,0.6470588235294118,0.0
0.85,0.55,0.6,5.0,5.0,0.66222,0.475,0.225,0.87655,0.025,0.675
0.8461538461538461,0.5384615384615384,0.5897435897435898,4.0,5.0,0.76444,0.48717948717948717,0.20512820512820512,0.86793,0.02564102564102564,0.6666666666666666
1.0,0.0,0.0,6.0,6.0,0.53333,0.6470588235294118,0.0,0.7893,0.058823529411764705,0.5882352941176471
1.0,0.0,0.0,7.0,7.0,0.60222,0.5675675675675675,0.10810810810810811,0.79767,0.05405405405405406,0.6216216216216216
1.0,0.0,0.0,7.0,7.0,0.67333,0.5833333333333334,0.08333333333333333,0.7972100000000001,0.05555555555555555,0.6111111111111112
0.8461538461538461,0.5384615384615384,0.5897435897435898,4.0,5.0,0.39889,0.02564102564102564,0.6666666666666666,0.87655,0.02564102564102564,0.6666666666666666
1.0,0.0,0.0,6.0,6.0,0.79333,0.5333333333333333,0.06666666666666667,0.65892,0.0,0.6
0.9333333333333333,0.0,0.06666666666666667,4.0,5.0,0.79333,0.5333333333333333,0.06666666666666667,0.69485,0.0,0.6
0.9354838709677419,0.0,0.06451612903225806,4.0,5.0,0.79333,0.5483870967741935,0.06451612903225806,0.69485,0.03225806451612903,0.5806451612903226
1.0,0.0,0.0,6.0,6.0,0.79333,0.5483870967741935,0.06451612903225806,0.65892,0.03225806451612903,0.5806451612903226
0.9230769230769231,0.0,0.07692307692307693,6.0,7.0,0.6544399999999999,0.48717948717948717,0.20512820512820512,0.74834,0.0,0.6923076923076923
1.0,0.0,0.0,2.0,2.0,0.62222,0.0,0.52,0.63355,0.0,0.52
1.0,0.0,0.0,4.0,4.0,0.67778,0.03571428571428571,0.5357142857142857,0.88379,0.03571428571428571,0.5357142857142857
0.9285714285714286,0.07142857142857142,0.0,2.0,2.0,0.63778,0.6071428571428571,-0.03571428571428571,0.88982,0.03571428571428571,0.5357142857142857
1.0,0.0,0.0,2.0,2.0,0.63667,0.2903225806451613,0.3225806451612903,0.9018,0.03225806451612903,0.5806451612903226
1.0,0.0,0.0,3.0,3.0,0.65222,0.029411764705882353,0.6176470588235294,0.81392,0.029411764705882353,0.6176470588235294
0.6923076923076923,0.0,0.3076923076923077,3.0,2.0,0.69222,0.6538461538461539,-0.11538461538461539,0.68676,0.038461538461538464,0.5
0.7878787878787878,0.21212121212121213,0.0,2.0,4.0,0.48333000000000004,0.0,0.6363636363636364,0.5272100000000001,0.7272727272727273,-0.09090909090909091
1.0,0.0,0.0,3.0,3.0,0.69444,0.03571428571428571,0.5357142857142857,0.8032699999999999,0.03571428571428571,0.5357142857142857
1.0,0.0,0.0,3.0,3.0,0.65222,0.03225806451612903,0.5806451612903226,0.81392,0.03225806451612903,0.5806451612903226
0.9333333333333333,0.0,0.06666666666666667,4.0,3.0,0.67778,0.03333333333333333,0.5666666666666667,0.88379,0.03333333333333333,0.5666666666666667
0.96,0.0,0.0,1.0,1.0,0.86556,0.48,0.04,0.6321899999999999,0.04,0.48
0.9411764705882353,0.058823529411764705,0.0,3.0,3.0,0.96111,0.029411764705882353,0.6176470588235294,0.7334,0.058823529411764705,0.5882352941176471
