strain,date,image,bit,mt,cp,Venus mean,Venus sd,MitoTracker mean,MitoTracker sd,Chloroplast mean,Chloroplast sd
187,20191125,32,16,no,yes,5413.318,2495.557,2451.606,1354.633,7729.209,1437.962
187,20191125,33,16,no,yes,5353.06,2515.423,2755.797,1475.779,7018.79,1969.462
187,20191125,34,16,no,yes,5032.619,2755.475,4775.447,2195.651,5303.668,1701.024
187,20191125,35,16,no,yes,4705.569,2310.849,2812.433,1374.136,5746.023,1514.946
187,20191125,37,16,no,yes,5370.235,2481.219,2213.799,1289.662,11034.201,2460.763
187,20191125,38,16,no,yes,5595.385,2581.663,2513.402,1389.711,9825.293,2377.573
187,20191125,39,16,no,yes,3643.654,2024.835,2183.08,1316.824,8837.676,2543.17
187,20191125,40,16,no,yes,3549.627,1933.012,2400.946,1338.173,12123.619,1853.936
187,20191125,41,16,no,yes,2967.302,1727.755,1953.388,1192.922,7925.501,1711.335
187,20191125,42,16,no,yes,16887.628,4648.716,3629.112,1660.244,10783.814,3015.723
187,20191125,44,16,no,yes,17123.816,4703.354,3812.404,1722.317,6921.181,2596.151
187,20191125,46,16,no,yes,18536.98,4910.851,5245.72,2108.976,13437.2,3397.271
187,20191125,47,16,no,yes,17611.759,4690.062,4051.361,1783.738,6562.084,2682.452
187,20191125,49,16,no,yes,20341.096,5003.956,4050.67,1885.015,2939.331,1732.099
187,20191125,50,16,no,yes,21973.03,5277.752,4095.782,1868.272,10279.338,1705.746
187,20191125,52,16,no,yes,21961.645,5239.967,4718.417,2039.141,2671.109,1079.652
188,20191125,28,16,no,yes,3949.686,2033.737,1649.572,1045.95,13038.486,6604.744
188,20191125,27,16,no,yes,3791.845,2059.727,1892.038,1127.291,13111.74,7254.795
188,20191125,26,16,no,yes,2927.523,1746.387,1523.37,1127.203,12956.689,8045.365
188,20191125,25,16,no,yes,2131.566,1354.713,1309.264,1030.743,10793.857,4111.6
188,20191125,24,16,no,yes,3004.831,1766.479,1486.91,1005.113,13136.431,5648.558
188,20191125,23,16,no,yes,3257.008,1817.028,1748.123,1107.81,10466.297,6063.305
188,20191125,22,16,no,yes,1878.151,1204.241,1009.252,723.935,8188.262,4846.622
188,20191125,21,16,no,yes,1427.886,947.894,1316.848,905.74,12317.889,6070.682
188,20191125,20,16,no,yes,1557.789,1001.89,1174.105,822.637,10675.316,5639.643
188,20191125,19,16,no,yes,1730.273,1157.862,1409.315,961.86,9864.494,6981.063
188,20191125,18,16,no,yes,1618.815,1115.696,1482.883,1010.838,10225.108,5255.361
188,20191125,17,16,no,yes,2393.315,1483.424,1677.563,1076.581,10837.602,7170.548
188,20191125,16,16,no,yes,3416.145,1798.561,2133.949,1410.112,9392.024,5487.566
188,20191125,15,16,no,yes,8403.188,3116.346,3251.824,1658.089,10128.22,6869.843
188,20191125,14,16,no,yes,8368.573,3189.474,2799.316,1477.353,8230.912,4585.874
188,20191125,13,16,no,yes,7113.689,2932.03,2633.684,1422.803,10573.34,5766.721
188,20191125,12,16,no,yes,6366.03,2787.933,2846.405,1764.506,9262.613,4734.783
188,20191125,11,16,no,yes,8380.342,3254.839,2589.507,1412.02,10341.848,4993.846
188,20191125,10,16,no,yes,5654.231,2581.317,3523.631,1723.726,11272.941,7990.456
188,20191125,9,16,no,yes,5241.209,2434.005,3051.214,1632.573,11790.811,6637.869
188,20191125,8,16,no,yes,7341.13,3003.123,4082.567,1856.571,10074.669,5813.177
188,20191125,7,16,no,yes,6388.234,2762.49,3452.983,1715.727,9299.4,6191.763
188,20191125,6,16,no,yes,5020.657,2486.348,4854.506,2003.335,10175.525,4565.892
188,20191125,5,16,no,yes,1236.478,801.945,728.493,544.425,7977.017,4123.944
188,20191125,4,16,no,yes,5625.201,2644.293,2523.35,1370.905,7415.199,4482.459
188,20191125,3,16,no,yes,4293.996,2195.613,1891.011,1179.435,10037.477,4733.949
188,20191125,2,16,no,yes,3987.609,2130.009,1697.225,1137.881,8896.407,6093.69
188,20191125,1,16,no,yes,4653.113,2330.971,1668.004,1088.159,8632.426,3547.79
