strain,date,image,bit,mt,cp,Venus mean,Venus sd,MitoTracker mean,MitoTracker sd,Chloroplast mean,Chloroplast sd
76,20190522,2,16,no,no,1545.056,936.323,14728.136,4485.191,4150.012,1278.676
76,20190522,1,16,no,no,1303.483,591.874,3701.629,1877.017,4883.565,1379.929
34,20190705,41,16,no,yes,4406.858,1139.444,1788.355,1181.823,9098.055,4786.083
34,20190705,40,16,no,yes,4453.13,845.268,755.617,578.263,8740.036,5647.321
34,20190705,39,16,no,yes,4595.923,934.922,9929.919,4061.159,10860.475,4154.576
34,20190705,38,16,no,yes,4681.285,1031.264,1316.606,877.659,13465.097,4928.069
34,20190705,36,16,no,yes,2912.524,1323.256,5352.532,2242.728,5376.465,3138.59
34,20190705,35,16,no,yes,4500.415,1421.582,3729.066,1820.961,10154.858,3404.566
34,20190705,34,16,no,yes,4344.618,1187.353,3862.589,1765.448,9985.172,4709
34,20190705,28,16,no,yes,4452.281,1329.282,13511.708,3446.329,12990.304,2792.486
34,20190705,27,16,no,yes,4427.4,1604.137,4529.061,1784.87,12323.072,6155.477
34,20190705,26,16,no,yes,4250.185,1364.558,3739.821,1719.588,10353.716,6005.817
34,20190705,24,16,no,yes,3592.625,1014.73,9520.333,2803.152,11409.218,7010.677
34,20190705,23,16,no,yes,3546.906,911.354,6991.63,2440.386,9831.527,5172.567
34,20190705,22,16,no,yes,3689.698,1044.615,8993.407,2614.596,7263.763,4585.012
34,20190705,21,16,no,yes,3619.052,966.751,5582.261,2159.714,13528.365,5068.356
34,20190705,19,16,no,yes,3597.493,1022.111,6608.811,2081.024,10571.061,5125.956
34,20190705,18,16,no,yes,3494.068,969.019,8895.462,2625.056,9481.011,6321.598
34,20190705,17,16,no,yes,3610.498,1098.126,13218.455,3262.044,15736.727,3082.061
34,20190705,16,16,no,yes,3579.63,994.647,6064.822,2216.234,12221.348,6428
34,20190705,15,16,no,yes,3791.21,1419.519,7855.067,2451.765,13602.988,5133.861
34,20190705,14,16,no,yes,1696.832,970.202,7345.898,2331.464,5974.114,2123.734
34,20190705,13,16,no,yes,1539.099,695.697,4465.681,1977.471,6478.261,2682.964
34,20190705,12,16,no,yes,1523.676,707.958,9778.993,2875.197,4693.624,3340.892
34,20190705,11,16,no,yes,1488.069,728.581,4016.329,1892.66,3418.581,2376.938
34,20190705,10,16,no,yes,1450.637,574.131,6626.878,2341.191,6829.564,2310.254
34,20190705,8,16,no,yes,1499.507,616.969,5463.816,2101.985,4331.069,1722.13
34,20190705,7,16,no,yes,1491.085,623.393,3797.312,1788.436,5289.884,3398.41
